episode,reward,model,reward_mean
0,19.0,dqn,
1,20.0,dqn,
2,19.0,dqn,
3,14.0,dqn,
4,11.0,dqn,
5,39.0,dqn,
6,29.0,dqn,
7,30.0,dqn,
8,11.0,dqn,
9,11.0,dqn,
10,11.0,dqn,
11,15.0,dqn,
12,18.0,dqn,
13,19.0,dqn,
14,17.0,dqn,
15,14.0,dqn,
16,11.0,dqn,
17,17.0,dqn,
18,14.0,dqn,
19,11.0,dqn,
20,14.0,dqn,
21,11.0,dqn,
22,9.0,dqn,
23,12.0,dqn,
24,11.0,dqn,
25,16.0,dqn,
26,19.0,dqn,
27,15.0,dqn,
28,44.0,dqn,
29,12.0,dqn,
30,12.0,dqn,
31,15.0,dqn,
32,40.0,dqn,
33,9.0,dqn,
34,15.0,dqn,
35,25.0,dqn,
36,13.0,dqn,
37,16.0,dqn,
38,11.0,dqn,
39,9.0,dqn,
40,10.0,dqn,
41,15.0,dqn,
42,13.0,dqn,
43,27.0,dqn,
44,10.0,dqn,
45,20.0,dqn,
46,12.0,dqn,
47,10.0,dqn,
48,33.0,dqn,
49,9.0,dqn,16.74
50,67.0,dqn,17.7
51,22.0,dqn,17.74
52,14.0,dqn,17.64
53,61.0,dqn,18.58
54,62.0,dqn,19.6
55,29.0,dqn,19.4
56,15.0,dqn,19.12
57,25.0,dqn,19.02
58,38.0,dqn,19.56
59,42.0,dqn,20.18
60,192.0,dqn,23.8
61,21.0,dqn,23.92
62,200.0,dqn,27.56
63,170.0,dqn,30.58
64,200.0,dqn,34.24
65,200.0,dqn,37.96
66,185.0,dqn,41.44
67,200.0,dqn,45.1
68,200.0,dqn,48.82
69,200.0,dqn,52.6
70,200.0,dqn,56.32
71,199.0,dqn,60.08
72,200.0,dqn,63.9
73,200.0,dqn,67.66
74,200.0,dqn,71.44
75,188.0,dqn,74.88
76,200.0,dqn,78.5
77,200.0,dqn,82.2
78,200.0,dqn,85.32
79,200.0,dqn,89.08
80,200.0,dqn,92.84
81,176.0,dqn,96.06
82,159.0,dqn,98.44
83,127.0,dqn,100.8
84,112.0,dqn,102.74
85,165.0,dqn,105.54
86,193.0,dqn,109.14
87,200.0,dqn,112.82
88,144.0,dqn,115.48
89,115.0,dqn,117.6
90,136.0,dqn,120.12
91,88.0,dqn,121.58
92,132.0,dqn,123.96
93,99.0,dqn,125.4
94,107.0,dqn,127.34
95,99.0,dqn,128.92
96,112.0,dqn,130.92
97,113.0,dqn,132.98
98,115.0,dqn,134.62
99,116.0,dqn,136.76
100,148.0,dqn,138.38
101,174.0,dqn,141.42
102,98.0,dqn,143.1
103,89.0,dqn,143.66
104,95.0,dqn,144.32
105,138.0,dqn,146.5
106,107.0,dqn,148.34
107,97.0,dqn,149.78
108,138.0,dqn,151.78
109,88.0,dqn,152.7
110,98.0,dqn,150.82
111,114.0,dqn,152.68
112,122.0,dqn,151.12
113,176.0,dqn,151.24
114,106.0,dqn,149.36
115,98.0,dqn,147.32
116,104.0,dqn,145.7
117,114.0,dqn,143.98
118,100.0,dqn,141.98
119,169.0,dqn,141.36
120,91.0,dqn,139.18
121,85.0,dqn,136.9
122,82.0,dqn,134.54
123,129.0,dqn,133.12
124,117.0,dqn,131.46
125,87.0,dqn,129.44
126,126.0,dqn,127.96
127,101.0,dqn,125.98
128,147.0,dqn,124.92
129,104.0,dqn,123.0
130,107.0,dqn,121.14
131,72.0,dqn,119.06
132,109.0,dqn,118.06
133,115.0,dqn,117.82
134,123.0,dqn,118.04
135,116.0,dqn,117.06
136,106.0,dqn,115.32
137,102.0,dqn,113.36
138,96.0,dqn,112.4
139,124.0,dqn,112.58
140,101.0,dqn,111.88
141,104.0,dqn,112.2
142,127.0,dqn,112.1
143,123.0,dqn,112.58
144,111.0,dqn,112.66
145,103.0,dqn,112.74
146,129.0,dqn,113.08
147,107.0,dqn,112.96
148,112.0,dqn,112.9
149,113.0,dqn,112.84
150,91.0,dqn,111.7
151,95.0,dqn,110.12
152,108.0,dqn,110.32
153,105.0,dqn,110.64
154,128.0,dqn,111.3
155,118.0,dqn,110.9
156,106.0,dqn,110.88
157,98.0,dqn,110.9
158,135.0,dqn,110.84
159,111.0,dqn,111.3
160,104.0,dqn,111.42
161,131.0,dqn,111.76
162,100.0,dqn,111.32
163,118.0,dqn,110.16
164,106.0,dqn,110.16
165,106.0,dqn,110.32
166,126.0,dqn,110.76
167,111.0,dqn,110.7
168,103.0,dqn,110.76
169,145.0,dqn,110.28
170,136.0,dqn,111.18
171,121.0,dqn,111.9
172,110.0,dqn,112.46
173,105.0,dqn,111.98
174,85.0,dqn,111.34
175,179.0,dqn,113.18
176,93.0,dqn,112.52
177,139.0,dqn,113.28
178,172.0,dqn,113.78
179,186.0,dqn,115.42
180,121.0,dqn,115.7
181,77.0,dqn,115.8
182,133.0,dqn,116.28
183,151.0,dqn,117.0
184,168.0,dqn,117.9
185,102.0,dqn,117.62
186,143.0,dqn,118.36
187,120.0,dqn,118.72
188,23.0,dqn,117.26
189,35.0,dqn,115.48
190,121.0,dqn,115.88
191,150.0,dqn,116.8
192,25.0,dqn,114.76
193,51.0,dqn,113.32
194,134.0,dqn,113.78
195,139.0,dqn,114.5
196,174.0,dqn,115.4
197,165.0,dqn,116.56
198,185.0,dqn,118.02
199,165.0,dqn,119.06
200,184.0,dqn,120.92
201,182.0,dqn,122.66
202,162.0,dqn,123.74
203,185.0,dqn,125.34
204,192.0,dqn,126.62
205,171.0,dqn,127.68
206,200.0,dqn,129.56
207,184.0,dqn,131.28
208,192.0,dqn,132.42
209,191.0,dqn,134.02
210,26.0,dqn,132.46
211,195.0,dqn,133.74
212,200.0,dqn,135.74
213,200.0,dqn,137.38
214,200.0,dqn,139.26
215,200.0,dqn,141.14
216,200.0,dqn,142.62
217,200.0,dqn,144.4
218,200.0,dqn,146.34
219,200.0,dqn,147.44
220,200.0,dqn,148.72
221,200.0,dqn,150.3
222,200.0,dqn,152.1
223,200.0,dqn,154.0
224,200.0,dqn,156.3
225,200.0,dqn,156.72
226,200.0,dqn,158.86
227,200.0,dqn,160.08
228,200.0,dqn,160.64
229,200.0,dqn,160.92
230,200.0,dqn,162.5
231,200.0,dqn,164.96
232,200.0,dqn,166.3
233,200.0,dqn,167.28
234,200.0,dqn,167.92
235,200.0,dqn,169.88
236,200.0,dqn,171.02
237,200.0,dqn,172.62
238,200.0,dqn,176.16
239,200.0,dqn,179.46
240,200.0,dqn,181.04
241,200.0,dqn,182.04
242,200.0,dqn,185.54
243,200.0,dqn,188.52
244,200.0,dqn,189.84
245,200.0,dqn,191.06
246,200.0,dqn,191.58
247,200.0,dqn,192.28
248,200.0,dqn,192.58
249,200.0,dqn,193.28
250,200.0,dqn,193.6
251,200.0,dqn,193.96
252,200.0,dqn,194.72
253,200.0,dqn,195.02
254,200.0,dqn,195.18
255,200.0,dqn,195.76
256,200.0,dqn,195.76
257,200.0,dqn,196.08
258,200.0,dqn,196.24
259,200.0,dqn,196.42
260,200.0,dqn,199.9
261,200.0,dqn,200.0
262,200.0,dqn,200.0
263,200.0,dqn,200.0
264,200.0,dqn,200.0
265,200.0,dqn,200.0
266,200.0,dqn,200.0
267,200.0,dqn,200.0
268,200.0,dqn,200.0
269,200.0,dqn,200.0
270,200.0,dqn,200.0
271,200.0,dqn,200.0
272,200.0,dqn,200.0
273,200.0,dqn,200.0
274,200.0,dqn,200.0
275,200.0,dqn,200.0
276,200.0,dqn,200.0
277,200.0,dqn,200.0
278,200.0,dqn,200.0
