episode,reward,model,reward_mean
0,-166.95584832833333,dqn,
1,-524.0957549694107,dqn,
2,-65.63757455262933,dqn,
3,-40.9186970249521,dqn,
4,-483.41988558551344,dqn,
5,-174.40659038039985,dqn,
6,-131.34720782481523,dqn,
7,-112.63014606086675,dqn,
8,-57.874507220019616,dqn,
9,-201.66208072965063,dqn,
10,-32.06175725124571,dqn,
11,36.28216175676681,dqn,
12,-98.77780603942202,dqn,
13,-114.29787977098502,dqn,
14,-68.35041655136277,dqn,
15,-86.03699665551864,dqn,
16,-115.15578941164274,dqn,
17,-19.937684511782386,dqn,
18,-63.638279478185375,dqn,
19,18.179663190234226,dqn,
20,-36.24872591914462,dqn,
21,91.49800310214945,dqn,
22,-122.72368602782953,dqn,
23,-76.22302598498253,dqn,
24,-80.55773195440314,dqn,
25,61.566881557801594,dqn,
26,269.90568882288335,dqn,
27,-64.22943047544742,dqn,
28,-88.27651482453301,dqn,
29,-127.91436322306009,dqn,
30,-143.79945111903623,dqn,
31,215.93975698533012,dqn,
32,-48.103465474418854,dqn,
33,-21.091280582802398,dqn,
34,-147.121156400062,dqn,
35,16.674811111238796,dqn,
36,181.94115275208844,dqn,
37,158.62580095940112,dqn,
38,142.4156007448684,dqn,
39,-140.61982048037171,dqn,
40,32.5167533060947,dqn,
41,-131.80533980220412,dqn,
42,-162.040421955165,dqn,
43,225.00775514846924,dqn,
44,-120.2376325884557,dqn,
45,-34.46040553458613,dqn,
46,128.13004605692868,dqn,
47,-114.0558828381051,dqn,
48,-70.5544120254894,dqn,
49,-66.29685598628888,dqn,-55.49760860097733
50,-43.79528686033239,dqn,-53.0343973716173
51,81.54698281990676,dqn,-40.921542615830965
52,250.46601543570839,dqn,-34.599470816064205
53,-67.40613766642163,dqn,-35.129219628893594
54,243.63042510676826,dqn,-20.588213415047967
55,3.498288492750852,dqn,-17.03011583758495
56,-9.773368959124435,dqn,-14.598639060271134
57,-30.58565392661065,dqn,-12.957749217586013
58,-54.00458833609371,dqn,-12.880350839907496
59,-70.03099021157786,dqn,-10.24772902954604
60,-67.89174052507532,dqn,-10.964328695022632
61,-79.11351161550309,dqn,-13.272242162468029
62,-86.28224221540565,dqn,-13.022330885987701
63,-46.03983721618801,dqn,-11.657170034891763
64,-66.85382071482249,dqn,-11.627238118160959
65,-68.08079877158548,dqn,-11.268114160482291
66,-129.83789782285768,dqn,-11.561756328706592
67,-82.38663319393245,dqn,-12.810735302349592
68,-262.38112478801656,dqn,-16.785592208546216
69,-56.50972768118093,dqn,-18.27938002597452
70,-28.386628711675367,dqn,-18.122138081825135
71,-232.95485263564888,dqn,-24.611195196581104
72,-12.882250993266096,dqn,-22.414366495889837
73,-35.45486933717382,dqn,-21.599003362933658
74,9.161233314736986,dqn,-19.804624057550853
75,-25.22458122528586,dqn,-21.540453313212605
76,-52.42676902972844,dqn,-27.987102470264844
77,-96.45954573800284,dqn,-28.63170477551595
78,-93.71656231797344,dqn,-28.740505725384754
79,-112.19215465454722,dqn,-28.4260615540145
80,-80.63196961757916,dqn,-27.162711923985363
81,-63.235909307388354,dqn,-32.746225249839725
82,-100.11237316328712,dqn,-33.78640340361709
83,-31.676883305670884,dqn,-33.998115458074466
84,-31.15980885046503,dqn,-31.678888507082526
85,-18.432156756676772,dqn,-32.38102786444083
86,-42.0702534458488,dqn,-36.86125598839958
87,-83.83233158021024,dqn,-41.710418639191815
88,-74.17222906638492,dqn,-46.04217523541687
89,-49.31195834497008,dqn,-44.21601799270884
90,-84.6382765053675,dqn,-46.559118588938084
